LE_MET_level6 mapped_stk_code
0 18
0 19
1 18
1 19
2 0
2 1
2 2
2 3
2 4
2 5
2 6
2 7
2 8
2 13
2 15
2 17
2 20
2 21
2 22
2 23
2 24
2 25
2 27
2 28
2 29
2 30
2 31
2 35
2 36
2 37
2 38
3 0
3 1
3 2
3 3
3 4
3 5
3 6
3 7
3 8
3 13
3 15
3 17
3 20
3 21
3 22
3 23
3 24
3 25
3 27
3 28
3 29
3 30
3 31
3 35
3 36
3 37
3 38
4 0
4 1
4 2
4 3
4 4
4 5
4 6
4 7
4 8
4 13
4 15
4 17
4 20
4 21
4 22
4 23
4 24
4 25
4 27
4 28
4 29
4 30
4 31
4 35
4 36
4 37
4 38
5 0
5 1
5 2
5 3
5 4
5 5
5 6
5 7
5 8
5 13
5 15
5 17
5 20
5 21
5 22
5 23
5 24
5 25
5 27
5 28
5 29
5 30
5 31
5 35
5 36
5 37
5 38
6 0
6 1
6 2
6 3
6 4
6 5
6 6
6 7
6 8
6 13
6 15
6 17
6 20
6 21
6 22
6 23
6 24
6 25
6 27
6 28
6 29
6 30
6 31
6 35
6 36
6 37
6 38
7 18
7 19
8 0
8 1
8 2
8 3
8 4
8 5
8 6
8 7
8 8
8 13
8 15
8 17
8 20
8 21
8 22
8 23
8 24
8 25
8 27
8 28
8 29
8 30
8 31
8 35
8 36
8 37
8 38
9 0
9 1
9 2
9 3
9 4
9 5
9 6
9 7
9 8
9 13
9 15
9 17
9 20
9 21
9 22
9 23
9 24
9 25
9 27
9 28
9 29
9 30
9 31
9 35
9 36
9 37
9 38
10 0
10 1
10 2
10 3
10 4
10 5
10 6
10 7
10 8
10 13
10 15
10 17
10 20
10 21
10 22
10 23
10 24
10 25
10 27
10 28
10 29
10 30
10 31
10 35
10 36
10 37
10 38
11 0
11 1
11 2
11 3
11 4
11 5
11 6
11 7
11 8
11 13
11 15
11 17
11 20
11 21
11 22
11 23
11 24
11 25
11 27
11 28
11 29
11 30
11 31
11 35
11 36
11 37
11 38
12 0
12 1
12 2
12 3
12 4
12 5
12 6
12 7
12 8
12 13
12 15
12 17
12 20
12 21
12 22
12 23
12 24
12 25
12 27
12 28
12 29
12 30
12 31
12 35
12 36
12 37
12 38
13 0
13 1
13 2
13 3
13 4
13 5
13 6
13 7
13 8
13 13
13 15
13 17
13 20
13 21
13 22
13 23
13 24
13 25
13 27
13 28
13 29
13 30
13 31
13 35
13 36
13 37
13 38
14 9
14 10
14 11
14 12
14 14
14 16
14 26
14 32
14 33
14 34
15 0
15 1
15 2
15 3
15 4
15 5
15 6
15 7
15 8
15 13
15 15
15 17
15 20
15 21
15 22
15 23
15 24
15 25
15 27
15 28
15 29
15 30
15 31
15 35
15 36
15 37
15 38
16 9
16 10
16 11
16 12
16 14
16 16
16 26
16 32
16 33
16 34
17 9
17 10
17 11
17 12
17 14
17 16
17 26
17 32
17 33
17 34
18 9
18 10
18 11
18 12
18 14
18 16
18 26
18 32
18 33
18 34
19 0
19 1
19 2
19 3
19 4
19 5
19 6
19 7
19 8
19 13
19 15
19 17
19 20
19 21
19 22
19 23
19 24
19 25
19 27
19 28
19 29
19 30
19 31
19 35
19 36
19 37
19 38
20 9
20 10
20 11
20 12
20 14
20 16
20 26
20 32
20 33
20 34
21 9
21 10
21 11
21 12
21 14
21 16
21 26
21 32
21 33
21 34
22 9
22 10
22 11
22 12
22 14
22 16
22 26
22 32
22 33
22 34
23 0
23 1
23 2
23 3
23 4
23 5
23 6
23 7
23 8
23 13
23 15
23 17
23 20
23 21
23 22
23 23
23 24
23 25
23 27
23 28
23 29
23 30
23 31
23 35
23 36
23 37
23 38
