stock comcat_per_szgroup
0 0
0 0
0 0
0 0
0 0
0 0
0 1
0 1
0 1
0 2
0 2
0 2
0 2
0 2
1 0
1 0
1 0
1 0
1 0
1 0
1 1
1 1
1 1
1 2
1 2
1 2
1 2
1 2
2 0
2 0
2 0
2 0
2 0
2 0
2 1
2 1
2 1
2 2
2 2
2 2
2 2
2 2
3 0
3 0
3 0
3 0
3 0
3 0
3 1
3 1
3 1
3 2
3 2
3 2
3 2
3 2
4 0
4 0
4 0
4 0
4 1
4 1
4 1
4 2
4 2
4 2
4 2
4 2
4 2
4 2
5 0
5 0
5 0
5 0
5 0
5 0
5 1
5 1
5 1
5 2
5 2
5 2
5 2
5 2
6 0
6 0
6 0
6 0
6 0
6 1
6 1
6 1
6 1
6 2
6 2
6 2
6 2
6 2
7 0
7 0
7 0
7 0
7 0
7 0
7 1
7 1
7 1
7 2
7 2
7 2
7 2
7 2
8 0
8 0
8 0
8 0
8 0
8 0
8 1
8 1
8 1
8 2
8 2
8 2
8 2
8 2
9 0
9 0
9 0
9 0
9 0
9 0
9 1
9 1
9 1
9 2
9 2
9 2
9 2
9 2
10 0
10 0
10 1
10 1
10 2
10 2
10 2
10 2
10 2
10 2
10 2
10 2
10 2
10 2
11 0
11 0
11 1
11 1
11 2
11 2
11 2
11 2
11 2
11 2
11 2
11 2
11 2
11 2
12 0
12 0
12 1
12 1
12 2
12 2
12 2
12 2
12 2
12 2
12 2
12 2
12 2
12 2
13 0
13 0
13 0
13 0
13 0
13 0
13 1
13 1
13 1
13 2
13 2
13 2
13 2
13 2
14 0
14 0
14 0
14 0
14 0
14 0
14 1
14 1
14 1
14 2
14 2
14 2
14 2
14 2
15 0
15 0
15 0
15 0
15 0
15 0
15 1
15 1
15 1
15 2
15 2
15 2
15 2
15 2
16 0
16 0
16 0
16 0
16 0
16 0
16 1
16 1
16 1
16 2
16 2
16 2
16 2
16 2
17 0
17 0
17 0
17 0
17 0
17 0
17 1
17 1
17 1
17 2
17 2
17 2
17 2
17 2
18 0
18 0
18 0
18 0
18 1
18 1
18 1
18 1
18 1
18 2
18 2
18 2
18 2
18 2
19 0
19 0
19 0
19 0
19 1
19 1
19 1
19 1
19 1
19 2
19 2
19 2
19 2
19 2
20 0
20 0
20 1
20 1
20 1
20 1
20 1
20 1
20 1
20 2
20 2
20 2
20 2
20 2
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
21 0
22 0
22 0
22 1
22 1
22 1
22 1
22 1
22 1
22 1
22 2
22 2
22 2
22 2
22 2
23 0
23 0
23 0
23 0
23 0
23 0
23 1
23 1
23 1
23 2
23 2
23 2
23 2
23 2
24 0
24 0
24 0
24 0
24 0
24 0
24 1
24 1
24 1
24 2
24 2
24 2
24 2
24 2
25 0
25 0
25 0
25 0
25 0
25 0
25 1
25 1
25 1
25 2
25 2
25 2
25 2
25 2
26 0
26 0
26 0
26 0
26 0
26 0
26 1
26 1
26 1
26 2
26 2
26 2
26 2
26 2
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 0
27 1
27 1
27 2
27 2
27 2
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 0
28 1
28 1
28 2
28 2
28 2
29 0
29 0
29 1
29 1
29 2
29 2
29 2
29 2
29 2
29 2
29 2
29 2
29 2
29 2
30 0
30 0
30 1
30 1
30 2
30 2
30 2
30 2
30 2
30 2
30 2
30 2
30 2
30 2
31 0
31 0
31 1
31 1
31 2
31 2
31 2
31 2
31 2
31 2
31 2
31 2
31 2
31 2
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
32 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
33 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
34 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
35 0
36 0
36 0
36 0
36 0
36 0
36 0
36 1
36 1
36 1
36 2
36 2
36 2
36 2
36 2
37 0
37 0
37 0
37 0
37 0
37 0
37 1
37 1
37 1
37 2
37 2
37 2
37 2
37 2
38 0
38 0
38 0
38 0
38 0
38 0
38 1
38 1
38 1
38 2
38 2
38 2
38 2
38 2
